date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:48	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5df827d26f180%22	https://yt-download.org/robots.txt		(from )
17:34:48	96098/96098	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:48%20GMT	https://yt-download.org/	D:/temp/shikro/yt-download.org/index.html	(from )
17:34:49	96761/96761	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:49%20GMT	https://yt-download.org/de	D:/temp/shikro/yt-download.org/de.html	(from https://yt-download.org/)
17:34:49	290/290	---MC-	302	error ('Found')	text/html	date:Fri,%2023%20Jun%202023%2008:34:49%20GMT	https://yt-download.org/en	D:/temp/shikro/yt-download.org/en	(from https://yt-download.org/)
17:34:49	103528/103528	---MCZ	200	added ('OK')	text/css	etag:W/%22193d8-5df827d26f180-gzip%22	https://yt-download.org/css/app.css?id=16b4de5946e570f8f024b4c7108e70c9	D:/temp/shikro/yt-download.org/css/app2592.css	(from https://yt-download.org/)
17:34:50	248241/248241	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c9b5-5df827d26f180-gzip%22	https://yt-download.org/js/app.js?id=7e9a5e6e05feb93e0bdc472bbf7dc998	D:/temp/shikro/yt-download.org/js/app949c.js	(from https://yt-download.org/)
17:34:51	71110/71110	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:50%20GMT	https://yt-download.org/about	D:/temp/shikro/yt-download.org/about.html	(from https://yt-download.org/)
17:34:51	75899/75899	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:51%20GMT	https://yt-download.org/developers	D:/temp/shikro/yt-download.org/developers.html	(from https://yt-download.org/)
17:34:51	290/290	---MC-	302	error ('Found')	text/html	date:Fri,%2023%20Jun%202023%2008:34:51%20GMT	https://yt-download.org/en	D:/temp/shikro/yt-download.org/en	(from https://yt-download.org/)
17:34:51	938/938	---M-Z	200	added ('OK')	image/svg+xml	etag:%223aa-5df827d26f180-gzip%22	https://yt-download.org/images/youtube.svg	D:/temp/shikro/yt-download.org/images/youtube.svg	(from https://yt-download.org/)
17:34:52	3231/3231	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c9f-5df827d26f180-gzip%22	https://yt-download.org/images/tiktok.svg	D:/temp/shikro/yt-download.org/images/tiktok.svg	(from https://yt-download.org/)
17:34:52	93246/93246	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:52%20GMT	https://yt-download.org/tiktok-to-mp3	D:/temp/shikro/yt-download.org/tiktok-to-mp3.html	(from https://yt-download.org/)
17:34:53	2610/2610	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a32-5df827d26f180-gzip%22	https://yt-download.org/images/instagram.svg	D:/temp/shikro/yt-download.org/images/instagram.svg	(from https://yt-download.org/)
17:34:53	93324/93324	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:53%20GMT	https://yt-download.org/instagram-to-mp3	D:/temp/shikro/yt-download.org/instagram-to-mp3.html	(from https://yt-download.org/)
17:34:54	1151/1151	---M-Z	200	added ('OK')	image/svg+xml	etag:%2247f-5df827d26f180-gzip%22	https://yt-download.org/images/facebook.svg	D:/temp/shikro/yt-download.org/images/facebook.svg	(from https://yt-download.org/)
17:34:54	93298/93298	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:54%20GMT	https://yt-download.org/facebook-to-mp3	D:/temp/shikro/yt-download.org/facebook-to-mp3.html	(from https://yt-download.org/)
17:34:55	1766/1766	---M-Z	200	added ('OK')	image/svg+xml	etag:%226e6-5df827d26f180-gzip%22	https://yt-download.org/images/twitter.svg	D:/temp/shikro/yt-download.org/images/twitter.svg	(from https://yt-download.org/)
17:34:55	93272/93272	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:55%20GMT	https://yt-download.org/twitter-to-mp3	D:/temp/shikro/yt-download.org/twitter-to-mp3.html	(from https://yt-download.org/)
17:34:56	93246/93246	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2008:34:55%20GMT	https://yt-download.org/twitch-to-mp3	D:/temp/shikro/yt-download.org/twitch-to-mp3.html	(from https://yt-download.org/)
17:34:56	11060/11060	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202023%2008:34:56%20GMT	https://yt-download.org/images/twitch.svg	D:/temp/shikro/yt-download.org/images/twitch.svg	(from https://yt-download.org/)
17:34:57	8562/8562	---M-Z	200	added ('OK')	image/svg+xml	etag:%222172-5df827d26f180-gzip%22	https://yt-download.org/images/vimeo.svg	D:/temp/shikro/yt-download.org/images/vimeo.svg	(from https://yt-download.org/)
